INV	this is October sixteenth, nineteen seventy six, a second visit,
FAT	can you tell me about all the things that uh  that you have in
FAT	what else would I want for breakfast ?
FAT	hmm ?
FAT	oh .
FAT	no .
FAT	don't mess it up like that .
CHI	ten .
CHI	xxx .
CHI	how about if I give you some Oreos . right here ?
FAT	for breakfast ?
CHI	no .
CHI	I just wanna give you this xxx  .
FAT	oh just  we'll pretend .
CHI	yeah .
FAT	it's just a pretend box .
CHI	I  I wanna tell you something .
FAT	what ?
CHI	this is for real .
FAT	that's for real .
FAT	okay .
CHI	xxx  .
FAT	hey  .
FAT	you're right .
FAT	how about that ?
FAT	xxx  .
CHI	can we make some  ?
FAT	that's Sanka .
FAT	oh .
FAT	we can't make it .
FAT	this is a diet shake .
FAT	strawberry diet shake .
FAT	okay .
FAT	so ...
FAT	let's see .
FAT	what else do you have here ?
FAT	let me see .
FAT	do you know what this is ?
CHI	no .
CHI	let's open and see .
CHI	xxx .
FAT	that's another empty box .
FAT	this is lasagne .
FAT	it's like noodles .
CHI	yeah .
CHI	do you like it ?
FAT	yes .
FAT	it's like spaghetti or noodles .
CHI	okay .
CHI	xxx Daddy  .
FAT	you serve it with  ...
CHI	Daddy  .
FAT	what does it  look like on here ?
CHI	spaghetti .
FAT	yeah .
FAT	but .
FAT	what's all that ?
CHI	cheese .
FAT	cheese .
FAT	right .
CHI	okay .
CHI	um .
FAT	so   .
CHI	you say  how much .
FAT	so .
FAT	look  .
CHI	xxx  .
FAT	there's   a store here .
FAT	and .
FAT	there are plates here .
FAT	so .
FAT	you can serve me something .
FAT	how about cooking up some hot cereal ?
FAT	you have a stove here .
CHI	yeah .
CHI	that's my stove .
CHI	xxx  .
FAT	no .
FAT	that's a sink .
FAT	this is the stove .
CHI	yeah .
CHI	um .
FAT	and .
FAT	this has got the grill on the top .
CHI	you tell me ...
FAT	what's that ?
FAT	a bench ?
CHI	yeah .
CHI	tell me what ...
CHI	you  you tell me how much this would be .
CHI	and I'll tell you .
FAT	oh .
FAT	well .
FAT	look .
FAT	it says so right on here .
FAT	it says , uh .. .
FAT	 four nine cents .
FAT	forty nine cents .
CHI	okay .
CHI	let's see if I have a four in there .
CHI	I'm not sure I have a four in here .
CHI	nope .
FAT	you don't have any fours on that register ?
FAT	you're right .
CHI	nope .
CHI	but I'll just  .. just make it . five  .
FAT	five  .
FAT	make it five instead .
FAT	okay .
CHI	okay .
CHI	here's the milk .
CHI	whoa  !
FAT	whoop  .
CHI	the milk fell .
FAT	do you want me to read you that story now ?
CHI	no .
CHI	not yet .
FAT	no .
FAT	not yet .
CHI	what's that ?
FAT	that's just a car outside , Izzy .
FAT	just a car .
CHI	here's the cup .. for some  milk .
FAT	what  ?
FAT	it is ?
CHI	mhm .
FAT	what ?
CHI	cream .
FAT	cream .
FAT	oh .
FAT	are you gonna make me coffee ?
CHI	mhm .
FAT	okay .
CHI	okay .
FAT	is it too hot to drink right away ?
CHI	lemme taste it .
CHI	no .
FAT	no ?
CHI	let me put some milk in it .
FAT	you just put cream in it .
CHI	yeah .
CHI	but .
CHI	I didn't put more milk in it  .
FAT	more cream  .
CHI	xxx .
FAT	what ?
CHI	okay .
CHI	that's all .
CHI	uh .
FAT	uh .
FAT	who is that for ?
CHI	you .
FAT	oh .
FAT	well then .
FAT	give it to me .
FAT	I'll drink it .
FAT	oh .
FAT	forgot sugar .
CHI	oh .
CHI	I'm sorry .
FAT	forgot sugar .
FAT	where's the sugar ?
FAT	is there any sugar here ?
CHI	xxx .
FAT	here's sugar .
CHI	where ?
FAT	here's sugar .
CHI	thanks .
FAT	just a teaspoon .
CHI	xxx .
CHI	this one ?
FAT	yeah .
CHI	okay .
CHI	xxx put this here .
FAT	don't spill it .
FAT	take a long time to make a cup of coffee .
FAT	doesn't it ?
FAT	mm .
FAT	that's very good .
FAT	it's better than . Mommy makes .
FAT	right ?
CHI	mhm .
FAT	you silly .
CHI	what ...
FAT	what ?
CHI	how about .
CHI	if you ask me how much this is ?
FAT	oh .
FAT	how much is that Nestle's Quik , . store lady ?
CHI	oh .
CHI	ten .
FAT	ten ?
FAT	why do you say it's worth ten ?
FAT	it's got numbers on it .
FAT	look .
FAT	what's that ?
CHI	nine .
FAT	and .
FAT	what's nextto the nine ?
CHI	four .
FAT	that says , .
FAT	 four nine .
FAT	forty nine cents .
CHI	oh .
FAT	that's another one you don't have on the register .
FAT	xxx .
FAT	twenty five and ten is thirty five .
CHI	xxx .
FAT	what ?
CHI	when xxx get  .
FAT	what ?
CHI	I wanna get down xxx .
FAT	how do you get them xxx ?
FAT	do you hafta hit them ?
CHI	all sorts of number .
CHI	xxx  .
FAT	no  .
FAT	if you hit this it will go ...
FAT	whoops .
FAT	what  what dropped ?
CHI	the milk .
CHI	okay .
CHI	now .
FAT	oh .
FAT	you've got gas again .
FAT	don't you ?
CHI	I hafta have this in xxx .
FAT	in ?
CHI	yeah .
FAT	that's too close .
CHI	move it out a little bit .
CHI	not like that .
FAT	not like that ?
CHI	xxx  .
FAT	it has  to be like that for you ?
CHI	yeah .
CHI	okay .
CHI	xxx pick up the money .
FAT	what ?
FAT	what're you gonna do with that ?
FAT	are you gonna give me money back ?
FAT	I'll give you a dollar .
CHI	no .
CHI	you don't haveto give me a dollar .
FAT	I'm buying that .
FAT	am I not ?
CHI	yes .
CHI	you are .
FAT	well .
FAT	then I give you money .
FAT	and y you give me money back .
FAT	what did you give me back ?
CHI	money .
FAT	yeah .
FAT	but .
FAT	how  how ...
FAT	what is this ?
CHI	quarter .
FAT	and this one ?
CHI	dime .
FAT	nickel .
CHI	what ?
FAT	nickel .
CHI	nickel .
FAT	and this one ?
CHI	dime .
CHI	quarter .
FAT	no .
FAT	this one's the nickel .
FAT	this one's a quarter .
FAT	this one's a nickel .
FAT	this one is a ...
CHI	dime .
FAT	no .
FAT	what's the other one called ?
CHI	hey !
FAT	a penny .
FAT	hey .
FAT	there's really stuff in there !
CHI	yeah !
CHI	how xxx  .
FAT	oh  .
FAT	let's  not open it up .
FAT	we  we  ...
FAT	you don't haveto open it up to play this game , Izzy .
CHI	nah .
CHI	oh xxx  .
FAT	what  ?
FAT	I hafta keep it ?
CHI	yeah .
CHI	you hafta keep it .
FAT	just for  just for play .
FAT	why ...
CHI	xxx take it and shake it up for you .
FAT	why are you shaking it up ?
CHI	so it'll be nice and xxx  .
FAT	maybe it's  just sand in there .
CHI	yeah .
FAT	doesn't sound like it's full .
FAT	does it ?
CHI	oh .
CHI	yes .
CHI	it is .
FAT	it is full ?
CHI	mhm .
FAT	thankyou .
FAT	thankyou .
FAT	do you have a bag for me to pack this away in ?
CHI	oh .
CHI	yes I do  .
FAT	oh  .
FAT	you do .
FAT	do I haveto pay you for the bag ?
FAT	or .
FAT	does it come free ?
CHI	it comes free .
CHI	want some more things before you go ?
FAT	food shopping ?
FAT	is this the name of your store ?
CHI	yeah .
FAT	oh .
FAT	so ...
CHI	what else would you like ?
FAT	what else ?
FAT	well .
FAT	I'm still looking for a breakfast cereal .
FAT	we never gotto answer that question .
CHI	well .
CHI	I have macaroni .
FAT	that's not a breakfast cereal .
CHI	no .
CHI	I meant chips .
CHI	I meant xxx .
FAT	what ?
CHI	cat ! giggles ?
FAT	laughs I mean that one of this one .. or this one ...
FAT	that's what I mean .
CHI	okay .
CHI	this would be . eleven cents .
CHI	I mean  I mean ten cents I meant .
FAT	ten cents ?
CHI	yes .
CHI	so .
CHI	here's ten up .
FAT	ten cents .
FAT	good .
FAT	ten .
FAT	you're right .
FAT	oh .
FAT	now I can pay you ten cents ?
CHI	yeah .
FAT	if I give you a quarter that's twenty five cents .
FAT	now you give me back some .
CHI	what  what should I give you back ?
FAT	a dime .
FAT	and a nickel .
CHI	is it this kind ?
FAT	no .
FAT	xxx how about three nickels ?
FAT	three of these nickels ?
FAT	xxx .
FAT	I'm gonna win on this deal .
FAT	I can tell .
FAT	thankyou .
FAT	thankyou .
FAT	that's good enough .
FAT	now do I get to put one in my bag ?
FAT	in my shopping bag ?
CHI	what ?
CHI	oh .
CHI	yeah .
FAT	the cereal that I just bought .
FAT	do you sell any hammers in this store ?
CHI	no .
CHI	I don't .
FAT	oh .
FAT	okay .
CHI	but the most thing you ...
FAT	what ?
CHI	I want you to take this .
FAT	okay .
CHI	that's all .
FAT	okay .
FAT	now .
FAT	I think I'm done shopping right now .
FAT	I hafta pay you for this one now .
FAT	here .
FAT	I'll pay you for this .
FAT	take what you want .
FAT	okay .
FAT	now let's pretend we're gonna go home .
FAT	and .
FAT	then I'll read you that book .
FAT	okay ?
FAT	I wanna see what that book is all about .
FAT	don't you ?
CHI	yeah .
FAT	what ?
CHI	it's about a cat and a lady and a policeman .
FAT	it is ?
CHI	yeah .
FAT	where is the book ?
FAT	did you remember where that .
CHI	in here .
FAT	oh .
FAT	what's in the book ?
CHI	yeah .
CHI	but .
CHI	I wanna  I wanna play with this car first .
FAT	car first ?
FAT	you sure ?
CHI	mhm .
FAT	you don't wanna read the book first ?
CHI	no .
CHI	I wanna read that .
CHI	I wanna do that one .
FAT	oh .
FAT	look at this car .
CHI	see ?
CHI	I told you .
FAT	xxx  .
CHI	you don't  haveto sit on there .
CHI	you haveto sit down here  .
FAT	all  the way on the floor ?
CHI	yeah .
CHI	okay ?
FAT	okay .
CHI	now let's take out the people .
CHI	we haveto figure out how to put it back together though .
FAT	oh .
FAT	are we gonna take it apart ?
CHI	yeah .
FAT	oh .
CHI	xxx  .
FAT	how  did you take it apart last time ?
CHI	uh .
CHI	we take out these .
FAT	oh .
CHI	first .
CHI	then we open this up .
FAT	mhm .
CHI	and .
CHI	there's a tire .
FAT	a tire .
FAT	oh .
FAT	is that the way you want to play with it ?
FAT	by taking it apart ?
CHI	yeah .
FAT	oh .
CHI	that's the way we do it .
FAT	oh .
FAT	that's the way it's done huh ?
CHI	yeah .
FAT	so .
FAT	you gonna do it all by yourself ?
FAT	or  .
CHI	no  .
FAT	do you want some help ?
CHI	no .
CHI	I need some help .
FAT	you got that tire out pretty quickly .
CHI	now I take out ...
FAT	what is that you're taking out now ?
FAT	whoops !
CHI	Dad , I need some help .
FAT	you need some help ?
FAT	oh .
FAT	you want me to do it ?
FAT	you're doing it okay all by yourself .
CHI	yeah  .
FAT	huh  ?
CHI	but I needed a help .
FAT	oh .
FAT	okay .
FAT	want me to do one side ?
CHI	I'll do this other side .
FAT	you don't even need to use those tools .
FAT	why don't we try to use the tools anyway ?
CHI	yeah .
CHI	but .
CHI	um .
CHI	I doing this side .
CHI	I need the screwdriver .
FAT	oh .
FAT	okay .
CHI	xxx the screw .
FAT	what is this one called ?
CHI	a wrench .
FAT	no .
FAT	this is the wrench .
FAT	what is this ?
FAT	oh .
FAT	what's this one ?
CHI	it's something to hold up the tire when the tire is low .
FAT	oh .
FAT	it's a jack for the tires ?
CHI	yeah .
FAT	oh .
FAT	oh .
FAT	I see .
FAT	who told you that ?
CHI	my mommy last time .
FAT	that was a good guess .
CHI	you don't haveto help me do this side .
CHI	xxx .
FAT	why ?
CHI	cause I don't xxx .
CHI	that's why .
FAT	here .
FAT	twist it .
FAT	here it goes .
FAT	oh .
FAT	look .
FAT	the horn comes out on this .
FAT	isn't that funny ?
CHI	what ?
FAT	beep beep .
CHI	no .
CHI	it's ...
CHI	no .
CHI	it's something that makes ...
FAT	what ?
FAT	what is it ?
FAT	something that makes what ?
CHI	it's something that you haveto do .
CHI	and .
CHI	it's  it's . the screw . to screw it on  .
FAT	I know  .
FAT	but .
FAT	it's right where the horn is on my car .
FAT	right in the middle of the steeringwheel .
FAT	that's why I was pretending it   .
CHI	oh  .
CHI	yeah  .
CHI	yeah  .
CHI	yeah  .
CHI	that's right  .
FAT	, was the horn .
FAT	look at this .
FAT	what's that supposed to be ?
CHI	that's supposed to be ...
FAT	goes right there .
CHI	yeah .
CHI	it goes right there cause that's the top of the car .
FAT	what is it for ?
CHI	it's a xxx .
FAT	what's in the front ?
CHI	xxx take that .
FAT	oh !
CHI	the motor .
FAT	the motor ?
CHI	yeah .
CHI	let's not take it out cause it'll be sad if we take it out the
FAT	why  would it be sad ?
CHI	but ...
FAT	Izzy , why would you be sad if we took out the motor ?
CHI	no .
FAT	can I take out the front bumper ?
CHI	oh .
CHI	yes .
CHI	we can .
FAT	oh .
CHI	mm .
CHI	it's hard for me .
CHI	see if I  I'll use ...
CHI	I'm gonna ...
CHI	I'm wanna use  .
FAT	can  I take a tire off ?
FAT	can I take this tire off ?
CHI	oh .
CHI	yes .
CHI	you can .
CHI	xxx .
FAT	oh .
FAT	boy .
FAT	there's so many pieces to this car .
CHI	yep .
FAT	did you get a chance to put it back together again ?
CHI	0 ! gasp .
FAT	good .
FAT	Izzy did you just take it apart last time you were here ?
FAT	or .
FAT	did you put it back together again also ?
CHI	we took it apart .
CHI	and .
CHI	we put it back together again .
FAT	you did ?
FAT	you did with Mommy ?
CHI	yep .
FAT	you took it all the way apart ?
CHI	yep .
CHI	no .
CHI	no .
CHI	just a couple of pieces .
FAT	just a couple of pieces .
CHI	yeah .
FAT	did it take more time to take it apart or more time to put it back
FAT	oh .
FAT	look at this .
FAT	this  one comes all apart .
CHI	what  ?
CHI	don't ...
CHI	Daddy  don't take that apart .
FAT	what  ?
CHI	that's where the tools are supposed to be .
CHI	and I wanna  .
FAT	no  .
FAT	I'm  just taking this wheel off .
FAT	whoops .
FAT	you know .
FAT	big people don't ...
CHI	what ?
CHI	what , Daddy ?
CHI	what , Dad ?
FAT	I'm saying , big people don't  don't need to use a tool on this
FAT	do they ?
FAT	you can do it just with your fingers when you get big .
FAT	whoops .
FAT	xxx .
FAT	there .
FAT	you've got it .
FAT	oops .
FAT	there you go  .
CHI	let's  not take it all apart  .
FAT	no  ?
FAT	now do you wanna start putting it back together ?
CHI	no .
CHI	we're not gonna put it back together here .
CHI	we're gonna put on this tire .
CHI	so .
CHI	I need this .
CHI	okay  .
FAT	oh  .
CHI	you tell um xxx .
FAT	xxx .
CHI	okay .
FAT	whoops .
CHI	what ?
FAT	forgot the screws .
CHI	what ...
FAT	there you go .
CHI	okay .
FAT	now .
FAT	should I put on one tire and you put on the other ?
CHI	yeah .
CHI	I'll put on ...
FAT	is that good ?
CHI	yeah .
CHI	but .
CHI	I'll just do one tire .
CHI	and  and that's all .
FAT	oh .
FAT	do you remember which one was in the back ?
FAT	no ?
CHI	this bed the one on the back .
CHI	oh .
CHI	but I'm gonna put this one in the back cause this one's really low
FAT	oh .
FAT	that one's really low ?
CHI	yes .
CHI	we can't use it .
FAT	oh .
FAT	how're we ever gonna get it fixed ?
CHI	well .
CHI	we can fix it .
CHI	we don't haveto put the wheel on ...
CHI	we have this tire .
FAT	oh .
FAT	okay .
FAT	does  this one go back here ?
CHI	xxx  .
CHI	yeah .
CHI	okay  .
FAT	and .
FAT	then where's the ...
FAT	oh .
FAT	there's a black one for there .
CHI	yeah .
CHI	that's pretty fast .
FAT	oh .
FAT	it's very wobbly .
CHI	I know .
CHI	I'll put that back .
CHI	I know how .
FAT	oh   .
FAT	did you get at this one ?
CHI	that goes like that .
FAT	oh .
FAT	do you ...
FAT	do any of our friends have this toy at home , Izzy ?
CHI	no .
FAT	no ?
FAT	do you like it ?
FAT	is it a good toy ?
CHI	yes .
CHI	it is .
FAT	yes .
FAT	it is .
FAT	you don't see this one . any place else .
FAT	do you ?
CHI	no .
FAT	oh .
CHI	what ?
FAT	that's a good idea .
CHI	what ?
FAT	I just saw how this thing works .
CHI	I goes in there .
FAT	it does go in there ?
CHI	yeah .
CHI	xxx .
FAT	are you sure ?
FAT	whoops .
CHI	yeah .
CHI	it's wobbling like this .
CHI	isn't it ?
FAT	mhm .
FAT	so .
FAT	remember Bobby in NewYork ?
FAT	remember Bobby in NewYork ?
CHI	yeah .
FAT	well .
FAT	his daddy used to sell this kind of toy .
CHI	there .
CHI	hmm .
FAT	oops .
CHI	what ?
FAT	the whole side of this car is falling off .
FAT	gotta tighten this .
CHI	xxx put the tools back  .
FAT	oh  .
FAT	we shouldn't put the tools back until .. ...
CHI	what ?
FAT	we've got the whole .. car back together again .
CHI	xxx .
FAT	the tools go away last .
FAT	whoops .
FAT	can I put this  the steeringwheel in ?
CHI	yeah .
CHI	don't close that cause I'm gonna be using that part .
FAT	oh .
FAT	you are ?
FAT	what're you gonna use for ?
CHI	I'm gonna use it for putting these things back in .
CHI	xxx .
FAT	xxx .
CHI	xxx .
FAT	oh .
FAT	where's the wrench ?
CHI	the wrench  ?
FAT	yeah .
CHI	I think ...
CHI	I don't know .
CHI	oh .
CHI	here it is .
CHI	it went right near the camera xxx .
FAT	what ?
CHI	here we are .
FAT	here we are ?
FAT	oh .
CHI	now .
CHI	what's this ex extra one for  ?
FAT	that's  not an extra one , I don't think .
FAT	how can there be any extra pieces ?
FAT	xxx the front .
FAT	xxx   what's it called .
FAT	where did this one go ?
CHI	I don't know where it ...
FAT	okay .
FAT	let's put the front part on .
FAT	where's the front bumper ?
CHI	the front bumper ?
FAT	yeah .
FAT	is it behind you too ?
CHI	yeah .
FAT	hmm .
CHI	right here .
FAT	yeah .
FAT	these are the tools .
CHI	what ?
FAT	here are the people .
FAT	xxx  bum p bum p bum  .
FAT	oh .
FAT	I see where it went .
FAT	I see .
CHI	what ?
CHI	I found out where these extra screws go .
FAT	bolts I mean .
CHI	xxx  ooh .
CHI	put the people back in .
CHI	we'll close this up .
CHI	and we'll put the people in .
FAT	you're not gonna do the front bumper ?
FAT	we haveto do that to have it all put back together .
CHI	yeah .
CHI	but you  you put the bumper on .
FAT	oh .
FAT	you ...
FAT	why do you want ...
FAT	don't put it in upside down .
CHI	laughs there we are .
CHI	I haveto close this cause this will be in their way .
FAT	yeah .
FAT	I know .
FAT	but .
FAT	I hafta put the front bumper on .
FAT	the people can't drive away without a front bumper .
FAT	do they have room for anybody else in their car ?
CHI	um .
CHI	um .
FAT	hmm ?
FAT	no ?
FAT	or yes  ?
CHI	no  .
CHI	yes .
CHI	right here .
FAT	no .
FAT	you don't put somebody near the engine .
CHI	why ?
FAT	cause the engine gets hot .
FAT	and .
FAT	it's noisy .. with the  . with the hood open .
CHI	okay .
CHI	I'll put . this stuff back .
FAT	what's this one ?
FAT	does that one go like that ?
CHI	it goes on the other side .
CHI	like that .
CHI	and .
CHI	this goes like this .
CHI	see ?
FAT	how fast does this go now  this car go now that we fixed it ?
FAT	does it go fast ?
FAT	is it running good ?
FAT	running well ?
CHI	let's see .
CHI	I don't know .
FAT	doesn't make any noise when it runs .
FAT	does it ?
CHI	yep .
FAT	there are no doors on that car I just noticed .
FAT	how do the people get in ?
CHI	well .
CHI	I just put them in like that  .
FAT	you just  put them in yourself .
FAT	mhm .
FAT	that's funny .
CHI	okay .
FAT	mhm .
CHI	and .
CHI	now ...
FAT	what ?
CHI	and .
CHI	now .. we can do the book .
FAT	oh .
FAT	we're gonna do the book now ?
CHI	yeah .
FAT	okay .
CHI	and .
CHI	then we'll be all done .
CHI	won't we ?
FAT	I don't know .
FAT	is there gonna be anything more to do ?
FAT	now .
FAT	what did you ...
FAT	what do I do ?
FAT	do I  do I make up a story ?
FAT	or .
FAT	do you make up a story ?
FAT	why don't you make up ...
CHI	you make up the story .
FAT	I make up the story ?
CHI	yeah .
FAT	oh .
FAT	who's in the book ?
FAT	who're the people ?
CHI	the boy , the lady , the policeman , the cat .
FAT	where're they ...
FAT	where are they , Izzy ?
CHI	in the pictures .
FAT	in the pictures .
FAT	oh .
FAT	I mean are they in a city ?
FAT	or .
FAT	are they in the park ?
FAT	or .
CHI	take it  whispered  .
FAT	why are you taking it off ?
CHI	because that's what Mommy do .
FAT	oh .
CHI	see ?
CHI	so it won't be ...
CHI	why don't you hold it ?
FAT	do you wanna sit on my lap sothat we can both see ?
CHI	yeah .
CHI	xxx .
CHI	you make up a story .
CHI	xxx .
FAT	okay .
FAT	here's the lady walking down the street with her cat in a carriage
CHI	hmm .
FAT	she's wearing a funny little hat .
FAT	xxx walking by the red flowers .
FAT	do you know what ?
CHI	what ?
FAT	I don't think that's a lady .
FAT	I think that's a little girl dressed up like a mommy .
FAT	doesn't that look like a little girl ?
FAT	so .
FAT	the little girl's playing with her cat pretending her cat is a doll
FAT	an she walks along .
FAT	and she's gonna pick some flowers .
FAT	does that look like a dandelion ?
CHI	what ?
FAT	this flower .
FAT	does that look like a dandelion to you ?
CHI	you mean this ?
FAT	the flower .
FAT	does that look like a dandelion ?
CHI	no .
FAT	no ?
CHI	looks like a rose .
FAT	it looks like a rose cause it's a red flower .
FAT	huh ?
FAT	so .
FAT	when she's picking up the flowers the cat jumps outof the carriage .
CHI	mhm .
FAT	she didn't see what happened .
FAT	then she turned around and looked inside .
FAT	 mygoodness !
FAT	 the cat's gone .
FAT	she gets very upset .
FAT	she wonders , where did the cat go and ?
FAT	he's hiding right behind the tree .
FAT	is that a little smile on his face ?
CHI	yeah .
FAT	he's playing a game  .
CHI	yeah he is  .
FAT	cat's  playing a game .
FAT	but the lady's very upset .
FAT	the girl dressed up like a mommy is very upset .
FAT	and .
FAT	she goes running down the street .
FAT	and .
FAT	what's this ?
FAT	there's the policeman .
FAT	he's got his whistle .
FAT	he's got his hand up .
FAT	and .
FAT	he's stopping this little boy .
CHI	why ?
FAT	on his tricycle .
CHI	why is he ...
FAT	cause he's directing traffic .
FAT	he's got a little badge .
FAT	and .
FAT	you know what ?
CHI	what ?
FAT	I don't think that's a real policeman .
FAT	I think that's a boy dressed up as a policeman .
CHI	0 ! giggle .
FAT	isn't that ?
CHI	yeah .
FAT	you know why I know ?
CHI	why ?
FAT	cause he looks short just like that little boy on the tricycle .
FAT	and .
FAT	it looks like that suit is a little bit too big for him .
FAT	so .
FAT	the little girl comes up .
FAT	and .
FAT	she says .
FAT	 oh , mygoodness !
FAT	 my  my little baby is gone .
FAT	 my little baby disappeared from my carriage .
FAT	 what can I do ?
FAT	 what can I do ?
FAT	 help me .
FAT	 help me .
FAT	and .
FAT	the policeman turns around .
FAT	and .
FAT	the cat shows up .
FAT	he says .
FAT	 there's your little cat .
FAT	and .
FAT	everybody's looking and pointing at the cat .
FAT	and .
FAT	the cat still haves a little bitty smile cause he's still playing a
FAT	he's still playing a game .
CHI	why ?
FAT	well .
FAT	I don't know why .
FAT	but .
FAT	he's having fun .
FAT	everybody's having fun pretending .
FAT	and .
FAT	the policeman tries to go catch the cat .
FAT	and .
FAT	he dropped his whistle .
FAT	and .
FAT	he trips .
FAT	and .
FAT	he falls down .
FAT	falls down .
FAT	xxx  .
CHI	I hear  Rachel go .
CHI	 a a a a .
FAT	yeah .
FAT	she's in with Mommy .
FAT	don't worry about that .
FAT	she's just cooing .
FAT	and .
FAT	look .
FAT	she says , chase my  chase my child and .
FAT	xxx .
FAT	here's this little boy .
FAT	and .
FAT	he thinks it kinda  kind of funny right now .
FAT	who's that on his shirt ?
FAT	do you know who that is ?
CHI	Batman .
FAT	Batman ?
CHI	yeah .
CHI	Batman .
FAT	that's funny .
FAT	he's got a Batman on his shirt and cowboy boots .
CHI	0  laughs .
FAT	that's funny .
CHI	mhm .
FAT	so .
FAT	anyway .
FAT	they keep on chasing him .
FAT	and .
FAT	there's the little boy policeman .
FAT	and .
FAT	he's chasing the cat .
FAT	and .
FAT	now the cat's getting angry .
FAT	look at those eyes on that cat .
FAT	the cat's getting angry .
FAT	what is that ?
FAT	a tunnel ?
FAT	I think that's a  a big pipe .
CHI	uhhuh .
CHI	I wonder why he's going under .
FAT	I think he's gonna try to hide again .
FAT	look .
FAT	the policeman's chasing him .
FAT	the girl's looking at what's happening .
FAT	what's that guy doing with his hands in his pockets ?
CHI	I don't know .
FAT	is he helping ?
CHI	maybe .
FAT	how could he be helping if he's got his hands in his pockets ?
CHI	I don't know .
FAT	could you do me a favor ?
CHI	what ?
FAT	when I read you a story .
FAT	you know what I'm talking about .
FAT	okay .
FAT	so .
FAT	let's see what happens next .
CHI	that is a tape recorder  ?
FAT	this is a longer story  than I thought it was .
CHI	Daddy .
FAT	what ?
CHI	that's a taperecorder .
FAT	that's the one I think that may be the same one that bed at our
FAT	so .
FAT	look .
FAT	they're looking at one end of the pipe .
FAT	and .
FAT	the policeman sticks his head in .
FAT	and .
FAT	the little boy is sitting on the pipe and .
FAT	the mommy is looking at what the policeman's doing ! gasp .
FAT	look .
FAT	the pipe goes through a little tiny hill and out the other side .
FAT	the cat's already out .
FAT	and .
FAT	he's poking his head down .
FAT	and .
FAT	he looks at the policeman at the other side of the pipe .
FAT	xxx that funny ?
CHI	yes .
CHI	it is .
FAT	the policeman comes out .
FAT	and .
FAT	he doesn't see anything .
FAT	and .
FAT	he falls .
FAT	kaplunkc .
FAT	and .
FAT	the mommy comes throught  throughout the pipe .
FAT	but .
